文件夹,文件名,分词内容
1029,14.txt,可惜了
1029,14.txt,保护措施再健全点就好了。
1029,14.txt,一只野猪害了一个年轻人的命啊，一路走好🕯️
1029,14.txt,【动车随车机械师检查车况时被撞身亡
1029,14.txt,野猪何以侵线有待查明】
1029,14.txt,#南京野猪何以侵线有待查明#
1029,14.txt,2024年10月27日，D5518次（徐州东—安庆站）动车行驶至紫金山东站附近时，司机反馈动车组撞击异物，随车机械师在下车检查时被临线动车组撞击。10月29日，铁路相关部门通报了这起事故
1029,14.txt,有人说要么是机械师违规操作了，要么就是列车长没及时通知调度，要么就是调度没及时通知对向来车，反正肯定属于人祸不是意外事故更不是天灾。对此有人提出疑问：明明知道工程师去检修车，但调度在没找到工程师情况下就调度另外一辆车来替补，替补后被检修的车辆是直接开走吗
1029,14.txt,我很疑惑。交警什么的都会穿上反光条纹服以方便司机在快速行进的道路上识别自己避免事故，动车工作人员特别是机械师，可以身穿带红，绿光线灯的头盔或者安在肩膀上啊。
1029,14.txt,这个事件从发生的头但结束的尾巴，每一个环节的处理应对都显得是草台子中的草台子，以前没出事是运气？希望不再有
1029,14.txt,这野生动物，是怎么跑到高速铁路上的？高速铁路保障肯定没做好。
1029,14.txt,现在全国野猪已经泛滥了，香港也是，伤人破坏庄稼的事越来越多，过度保护野生动物也是一种灾难。
1029,14.txt,管理下规范
1029,14.txt,哎……逝者安息
1029,14.txt,太可怕了
1029,14.txt,怎么会这么粗心
1029,14.txt,？这种事故居然也会发生吗
1029,14.txt,事前没有沟通好吗
1029,14.txt,安息
1029,14.txt,说真的，这🐗确实该管了，太多了一点，又没有天敌。这悲剧太不应该了
1029,14.txt,看了看事件经过，看了看评论区，很难不感叹一句：冷漠。社会高效运转的大机器之下，人命竟是如此微不足道。言论间尽显社会规训下群体化的制度性冷漠。
1029,14.txt,我靠人家才二十多岁啊，太可惜了。。。
1029,14.txt,为什么带节奏给野猪？机械师下车检查，没有对应的调度处理吗？人祸决不能忽视。
1029,14.txt,好可惜，南京野猪冲撞事件是经常发生吗不是很清楚诶，感觉这有点像人为的
1029,14.txt,#乘客讲述年轻机械师被撞身亡#
1029,14.txt,：列车撞上东西停车后又传来异响
1029,14.txt,有乘客大喊撞人了】近日，一列车机械师处置野猪侵线事故时，被邻线列车碰撞身亡事件引发网络关注。10月29日，记者从涉事D5515次列车乘客处获悉，两起事故间隔不到五分钟，有乘客目睹机械师被撞后场景，随后报告给车上工作人员。铁路南京
1029,14.txt,可见高铁经过非常危险
1029,14.txt,#被高铁撞击身亡机械师仅20多岁#
1029,14.txt,被撞的地方是单线行车？
1029,14.txt,说不通……
1029,14.txt,5518还是5515，二十多岁还是二十岁，越来越看不懂微博了，但真的好可惜
1029,14.txt,这下野猪可以猎杀了吧！
1029,14.txt,不管是20
1029,14.txt,还是更大的年龄都应该去重视
1029,14.txt,这是职业安全与人命的问题
1029,14.txt,有大好前途
1029,14.txt,有父母
1029,14.txt,这要人家怎么接受呢
1029,14.txt,这些事就不应该发生
1029,14.txt,不是，野猪怎么会跑到高铁铁道上去，才20岁也太小了吧！才刚出来的大学生啊
1029,14.txt,天呐。。。好年轻，请安息🙏🙏🙏🙏🙏
1029,14.txt,这明显就是人为事故，突然停下来检查维修，应该都向上面报备，对面来往的高铁都没有收到通知吗？太离谱了
1029,14.txt,啊！怎么会发生这种事
1029,14.txt,好可惜还这么年轻
1029,14.txt,两辆车会车完成到停车相距不过百米，然后两车人下车找了将近一个小时没找到人，我想了很久，如果人躺在两车中间路线上，那第二辆车把机械师派到第一辆车路上应该是能看到的，再说了，两车人员下车找了一个小时，两车相距不过百米，肯定两侧加上中间都找过了，怎么会找不到人
1029,14.txt,真的是不应该发生这种事啊，他那么认真去检查故障，结果却因此丧命。
1029,14.txt,年仅二十岁，太可惜了，逝者安息一路走好
1029,14.txt,年仅才20岁，刚刚起步的时候，这悲剧太惨了
1029,14.txt,妈呀
1029,14.txt,好年轻
1029,14.txt,安息🙏
1029,16.txt,#伊朗称将果断严肃回应以色列袭击#
1029,16.txt,还得是我大中华安全呀，真幸福的我哈哈哈，我们要想心系祖国就一定要确立一个远大的志向，树立和培育正确的理想信念，对自己的未来充满希望，要立志为自己的未来而努力奋斗，把祖国建设成为物质文明，政治文明，精神文明的国家。
1029,16.txt,伊朗外交部发言人巴加埃强调，伊朗不会放弃自己的权利，将用一切方式应对以色列的侵略。这下又换以色列准备防空了，现在伊以两国，你一下我一下，循环起来了
1029,16.txt,以色列正在消灭黎巴嫩南部的一个又一个边境村庄。其手段如此恶劣。
1029,16.txt,#黎以冲突#
1029,16.txt,#中东局势#
1029,16.txt,缘木球鱼的微博视频
1029,16.txt,美国：拭目以待，不怕你狠，就怕你稳。
1029,16.txt,陆战铁骑的微博视频
1029,16.txt,果断回应好，为啥强调“严肃”二字？
1029,16.txt,关于以色列袭击伊朗，到底是什么情况！来听听伊朗人说：伊朗老百姓生活一切正常，既不像以色列那样防空警报响起，也没有百姓慌张寻找防空洞躲避，很多人一觉醒来看新闻才知道发生了什么！
1029,16.txt,#逐帧解读以色列袭击伊朗画面#
1029,16.txt,#品茶说酒聊军事#
1029,16.txt,品茶说酒的微博视频
1029,16.txt,伊朗对于以色列的袭击展现出坚决的态度，强调将以各种方式回应侵略，这反映出伊朗捍卫自身权利的决心。同时，伊朗在地区冲突各方达成停火协议问题上的立场，明确指出以色列停止犯罪行为的前提，凸显了其对正义和地区和平的追求。
1029,16.txt,伊拉克致函联合国抗议以方利用其领空袭击伊朗。伊朗外交部：将利用一切可用手段果断和严肃的回应以色列袭击
1029,16.txt,#伊以冲突#
1029,16.txt,夜尘锋刃的微博视频
1029,16.txt,持续关注
1029,16.txt,#伊以冲突升级#
1029,16.txt,】当地时间28日，
1029,16.txt,#伊朗外交部回应以色列袭击#
1029,16.txt,。伊朗外交部发言人巴加埃强调，伊朗不会放弃自己的权利，将用一切方式应对以色列的侵略。此外，巴加埃还表示，伊朗欢迎地区冲突各方达成停火协议，但前提是以色列必须停止针对加沙地带和黎巴嫩的犯罪行为。
1029,16.txt,以色列国防
1029,16.txt,...展开
1029,16.txt,伊朗外交部对以色列的袭击做出回应，表示将“果断而有效地”回击，这体现了伊朗对于国家主权和安全的坚定立场。面对外部威胁，伊朗展现出维护国家利益、保护国内民众的决心。然而，冲突升级的趋势仍
1029,17.txt,#宇宙曹县不是个梗#
1029,17.txt,来自宇宙中心的曹县小伙宋令东已经飞向宇宙！
1029,17.txt,“宇宙曹县”不是个梗！来自“宇宙曹县”的小伙真的要飞向宇宙啦，等你太空归来日，就是牡丹花开时，神十九号航天员宋令东，家乡人民等你凯旋
1029,17.txt,迷彩的格调你的味道的微博视频
1029,17.txt,宋令东是山东菏泽曹县人，值得敬佩的是他入选了神舟十九号航天员，更让人佩服的是他是咱们首个90后男航天员，期待咱们的神州19号能够圆满成功，凯旋归来！
1029,17.txt,开始我还没有理解，最后明白了，原来是咱们的90后宇航员，宇宙曹县，牛🐮🐮
1029,17.txt,#90后农村娃拿到太空船票#
1029,17.txt,菏泽曹县出人才呀，也是把曹县的名声打响宇宙了！预祝神十九发射成功
1029,17.txt,我骄傲了
1029,17.txt,这回曹县厉害了
1029,17.txt,老家河南！匪窝叶县！！
1029,17.txt,哈哈哈，标题党，我还纳闷宇宙曹县是什么梗？果然帅的人都上交国家了！
1029,17.txt,正所谓中国青岛
1029,17.txt,宇宙曹县，眼下成真了，宇宙曹县不是个梗。
1029,17.txt,这次是90后接过了80后的航天大旗，00后可不能掉队呀!
1029,17.txt,“90”后航天员接手航天大旗。2024年10月29日，中国载人航天工程办公室公布，执行神舟十九号载人飞行任务的航天员乘组由蔡旭哲、宋令东、王浩泽(女)3名航天员组
1029,17.txt,...展开
1029,17.txt,哈哈哈哈哈这下真让我们菏泽蹭个大的
1029,17.txt,[收到]
1029,17.txt,“宇宙曹县不是个梗
1029,17.txt,我嘞宝贝”
1029,17.txt,兔子吃可乐鸡翅的微博视频
1029,17.txt,哇，曹县人上太空啦
1029,17.txt,这回真的是宇宙曹县啦
1029,17.txt,菠萝奶嗏不吃菜超话
1029,17.txt,梦想照进了他的现实，好棒👍👍
1029,17.txt,人人存善念，并能日行一善，则个人、家庭、社会一定安乐祥和。这世上，有时笑笑人家，有时给别人笑笑自己，放轻松，给自己快乐，也给别人快乐。同学丢一张纸屑—那是制造恶业；我们捡起一张纸屑—这是累积善业。
1029,17.txt,为你骄傲和自豪
1029,17.txt,厉害厉害
1029,17.txt,等你凯旋而归哟
1029,17.txt,【飞天圆梦！
1029,17.txt,】神十九航天员宋令东...
1029,17.txt,@新浪新闻
1029,17.txt,#宇宙曹县不是个梗#【飞天圆梦！#90后农村娃拿到太空船票#[心]】神十九航天员宋令东，1990年8月出生在山东曹县的一个小村庄里。13岁时，他和同学们在电视机前见证了神舟五号成功发射，飞天梦想的种子就此萌发。
1029,17.txt,2008年，宋令东应征入伍成为飞行员，驾战鹰护卫长空；2020年，他通过选拔成为航天员，如今
1029,17.txt,熊猫守护者超话
1029,17.txt,❶较好650，互助互动
1029,17.txt,，🈲快🧱
1029,17.txt,❷与较好的人hu动或🧱👍🏻🍎能涨ygxy
1029,17.txt,❸🧱👍🏻🍎互动满十五字更容易涨哦～
1029,17.txt,世界说大很大，说小很小。大到走了那么久，还没跟对的人相遇，小到
1029,17.txt,】神十九航天员宋令东，1990年8月出生在山东曹县的一个小村庄里。13岁时，他和同学们在电视机前见证了神舟五号成功发射，飞天梦想的种子就此萌发。
1029,17.txt,2008年，宋令东应征入伍成为飞行员，驾战鹰护卫长空；2020年，他通过选拔成为航天员，如今
1029,17.txt,】神十九航天员宋令东，1990年8月出生在山东曹县的一个小村庄里。13岁时，他和同学们在电视机前见证了神舟五号成功发射，飞天梦想的种子就此萌发。
1029,17.txt,2008年，宋令东应征入伍成为飞行员，驾战鹰护卫长空；2020年，他
1029,17.txt,【宇宙曹县不是个梗！
1029,17.txt,#曹县商场为宋令东亮大屏打call#
1029,17.txt,10月29日下午，在社交媒体上，一张关于菏泽曹县小伙宋令东入选神舟十九号航天员的户外宣传海报引发网友点赞。“不愧是宇宙曹县”“这波操作太溜了”“这下真成宇宙曹县了”……
1029,17.txt,记者多方采访得知，该海报位于菏泽牡丹区佳和
1029,17.txt,宇宙中心，实至名归
1029,17.txt,wf-2019的微博视频
1029,17.txt,航天员宋令东让“梗”变成了现实！
1029,17.txt,】神十九航天员宋令东，1990年8月出生在山东曹县的一个小村庄里。13岁时，他和同学们在电视机前见证了神舟五号成功发射，飞天梦想的种子就此萌发。
1029,17.txt,2008年，宋令东应征入伍成为飞行员，驾战鹰护卫
1029,13.txt,杨紫超话
1029,13.txt,#杨紫直播身材状态#
1029,13.txt,#杨紫1106生日快乐#
1029,13.txt,一个直播大眼要弄多少个热搜啊，还有我说，们内娱别一天到晚盯着女明星的身材状态了，我们家女演员自律的很，更不需要各位操心了，都这么瘦了还在调整，还要再瘦，为了进组有个更好的状态
1029,13.txt,[老师爱你]
1029,13.txt,追演员
1029,13.txt,@杨紫
1029,13.txt,很安心，很放心
1029,13.txt,快结束的时候
1029,13.txt,一直持续第二
1029,13.txt,太牛了吧
1029,13.txt,又美又瘦，随便一截都好看的，状态和身材都太好了~
1029,13.txt,今晚的直播，青春女大，紫紫好瘦啊！
1029,13.txt,#杨紫#
1029,13.txt,阿紫说何惟芳是一个很勇敢的女性，很尊敬她。
1029,13.txt,在那个年代开创自己的一番事业，帮到了更多的女性。大家一起，女子创业的一个过程，自己很崇拜何惟芳这个角色。期待我们的
1029,13.txt,#杨紫何惟芳#
1029,13.txt,唯爱奥奥的洋洋的微博视频
1029,13.txt,#杨紫拍摄花絮#
1029,13.txt,风格百变的紫神
1029,13.txt,，最喜欢紫宝镜头里云淡风轻的松弛感。
1029,13.txt,花开旎相惜的微博视频
1029,13.txt,杨紫时装男女双刊封面大片
1029,13.txt,#杨紫时装十一月生日封面#
1029,13.txt,表白代言人杨紫超绝大长腿
1029,13.txt,馒头好雪雪的微博视频
1029,13.txt,杨紫时装杂志采访📮
1029,13.txt,“不拿来自外界的定义去衡量自己的成长进度条，是因为杨紫很清楚她从哪里来，要往哪里去。她早就确定了自己想把那颗名叫热爱的心存放在哪里。”
1029,13.txt,“当演员，是杨紫心中最想干的事，没有之一。”
1029,13.txt,所以我们紫一直朝着自己心中的方向坚定地走下去吧💐
1029,13.txt,给我宝戴个小墨镜跟着音乐节奏动起来！生日要来了当然要开心呀～
1029,13.txt,#杨紫工作室
1029,13.txt,图呢#
1029,13.txt,唯旎1106的微博视频
1029,13.txt,不是啊有些人的逻辑真绝了哈。
1029,13.txt,你说她胖可是直播动态没法P图，真实看起来就是高挑瘦啊。
1029,13.txt,你要非得说是穿了鲨鱼裤的效果，那你就去直播间买两条试试呗，看看是不是鲨鱼裤真这么厉害，反正买了也不吃亏
1029,13.txt,边缘没有抠干净
1029,13.txt,大红大紫谁pf了？全网直播生图满天飞欢迎查阅！永远叫不醒装睡的人！爆剧我有，商务时尚状态全面开花！且走且pf喽
1029,13.txt,杨紫让我见识到这个世界很多人会有莫名的恶意，也让我知道只要坚持，老天不会辜负这份努力。
1029,13.txt,如今杨紫已经成为顶流、国民女演员、商务女王、扛剧女王。
1029,13.txt,这一切都是她应得的
1029,13.txt,爱旎的小疯子的微博视频
1029,13.txt,自律的女生也太有魅力了吧
